Spoken_Volume_ID,Track_ID,Loudness,Instrumentalness,Speechiness,Acousticness
494,494,-9.422,2.84E-05,0.0336,0.245
495,495,-12.359,1.62E-06,0.0377,0.863
496,496,-7.521,3.17E-06,0.0276,0.234
497,497,-6.394,0,0.0828,0.273
498,498,-8.666,0,0.0281,0.293
499,499,-15.882,0.000694,0.0428,0.0782
500,500,-15.73,0.0114,0.0414,0.735
501,501,-13.814,0.896,0.0345,0.767
502,502,-12.595,0.312,0.0286,0.15
503,503,-10.422,0.00199,0.144,0.024
504,504,-15.142,0.728,0.0346,0.389
505,505,-11.79,0.0043,0.0841,0.521
506,506,-14.976,0.00216,0.0293,0.223
507,507,-13.398,0.341,0.0302,0.0732
508,508,-14.526,0.559,0.0303,0.862
509,509,-3.908,0.0015,0.119,0.000278
510,510,-4.151,0.00249,0.0536,0.000264
511,511,-3.277,1.10E-06,0.0336,0.362
512,512,-4.217,0.0346,0.0567,0.000915
513,513,-2.688,0,0.14,0.00662
514,514,-2.693,0.00215,0.261,0.00167
515,515,-2.333,0,0.0877,0.0283
516,516,-4.096,0.000412,0.0489,0.0303
517,517,-5.132,0.0168,0.0381,0.0324
518,518,-3.252,8.31E-05,0.135,0.0202
519,519,-3.205,8.71E-06,0.0602,0.00293
520,520,-2.042,7.86E-05,0.0639,2.64E-05
521,521,-7.844,0,0.0302,0.183
522,522,-5.146,0,0.0314,0.023
523,523,-4.095,2.94E-05,0.0294,0.00552
524,524,-4.236,0,0.034,0.0175
525,525,-4.939,0,0.0355,0.0518
526,526,-3.409,0,0.0342,0.000143
527,527,-3.451,2.55E-06,0.0362,0.000659
528,528,-5.429,2.00E-05,0.302,0.00133
529,529,-10.634,0.961,0.0376,0.934
530,530,-25.398,0.89,0.0578,0.961
531,531,-31.544,0.878,0.0579,0.991
532,532,-38.901,0.957,0.0482,0.994
533,533,-32.309,0.923,0.0378,0.986
534,534,-34.977,0.931,0.0519,0.992
535,535,-28.556,0.953,0.054,0.991
536,536,-39.627,0.951,0.0515,0.992
537,537,-13.593,0.856,0.0332,0.965
538,538,-29.933,0.919,0.0422,0.987
539,539,-3.727,0.00517,0.0439,0.0492
540,540,-4.046,0.064,0.0775,0.000202
541,541,-4.046,1.02E-05,0.0321,0.000436
542,542,-4.852,0.0026,0.0575,0.000456
543,543,-5.301,0.0122,0.142,0.000273
544,544,-5.883,0.00686,0.0556,0.00242
545,545,-7.665,0.00419,0.0718,0.127
546,546,-3.426,0.041,0.0341,0.00114
547,547,-4.232,0.000402,0.05,6.94E-06
548,548,-6.76,0.0162,0.0323,0.00819
549,549,-7.583,0.000163,0.0249,0.397
550,550,-3.879,0,0.0384,0.0868
551,551,-5.163,0,0.0345,0.172
552,552,-3.674,0.0101,0.0327,0.000202
553,553,-10.613,1.02E-05,0.0429,0.0115
554,554,-2.962,3.37E-05,0.0458,0.435
555,555,-10.961,0.0296,0.0378,0.00298
556,556,-5.434,8.27E-05,0.037,0.0645
557,557,-3.947,0,0.0558,0.583
558,558,-5.792,0.000496,0.0287,0.0516
559,559,-3.026,0.000294,0.168,0.000237
560,560,-2.997,5.44E-06,0.171,0.0177
561,561,-3.889,0.00275,0.0887,0.00269
562,562,-1.58,0.000112,0.107,0.00174
563,563,-4.119,0,0.104,0.00208
564,564,-2.188,0.0253,0.0469,0.000118
565,565,-2.865,0.000881,0.0648,0.00591
566,566,-5.723,0.0095,0.0425,0.012
567,567,-2.587,4.66E-05,0.126,0.000467
568,568,-8.517,0.000424,0.0291,0.334
569,569,-4.097,0,0.0406,0.000509
570,570,-3.254,2.61E-06,0.0628,0.0665
571,571,-5.506,1.96E-06,0.031,0.0689
572,572,-3.786,0.0509,0.039,0.458
573,573,-3.366,1.31E-05,0.0381,2.31E-05
574,574,-2.865,0.0121,0.0391,6.31E-05
575,575,-3.506,1.13E-06,0.0481,0.146
576,576,-8.666,0,0.0328,0.305
577,577,-2.605,0.00284,0.041,0.0864
578,578,-6.396,2.16E-06,0.0279,0.274
579,579,-9.267,0.00244,0.0926,0.0493
580,580,-4.142,0.137,0.0354,0.0436
581,581,-7.89,0.0317,0.0338,0.0383
582,582,-8.277,0.039,0.031,0.447
583,583,-9.237,0,0.214,0.518
584,584,-3.864,0.000778,0.0308,0.39
585,585,-6.128,0.000152,0.0291,0.67
586,586,-6.517,0.0107,0.0255,0.687
587,587,-4.746,0.0215,0.0392,0.443
588,588,-9.686,6.36E-05,0.0594,0.64
589,589,-16.457,0.982,0.042,0.951
590,590,-16.806,0.696,0.0323,0.178
591,591,-12.478,0.834,0.0289,0.0404
592,592,-27.788,0.964,0.0348,0.927
593,593,-30.777,0.929,0.0425,0.933
594,594,-13.124,0.838,0.0322,0.00145
595,595,-16.949,0.928,0.0351,0.59
596,596,-19.155,0.633,0.0396,0.516
597,597,-15.954,0.964,0.0356,0.528
598,598,-19.007,0.95,0.0329,0.433
599,599,-4.647,0.000246,0.0854,0.000249
600,600,-4.277,0.205,0.0377,1.33E-05
601,601,-5.116,0.827,0.079,9.91E-06
602,602,-6.475,0.0759,0.027,0.000824
603,603,-3.663,0.00691,0.0537,0.000362
604,604,-6.412,0.1,0.0421,0.0185
605,605,-7.416,0.0606,0.0354,0.00273
606,606,-6.13,0.0001,0.0945,0.0001
607,607,-4.938,0.211,0.0824,0.00122
608,608,-4.241,0.0411,0.112,1.94E-05
609,609,-4.918,0,0.0488,0.0103
610,610,-7.419,0.000378,0.0692,0.0126
611,611,-6.547,5.33E-06,0.0339,0.00103
612,612,-4.344,0,0.0411,0.000715
613,613,-3.117,0,0.0518,0.0044
614,614,-5.803,0,0.0348,0.034
615,615,-4.563,0,0.0869,0.000324
